core to core latency(ns), 0, 1, 2, 3, 4, 5, 6, 7
7, 35.288719, 34.834255, 33.972057, 33.917732, 32.864471, 32.833015, 10.789456, 0.0
6, 35.298420, 34.665157, 33.976791, 34.006428, 32.910690, 32.839775, 0.0, 10.928502
5, 34.983879, 34.635258, 34.003998, 33.994804, 10.789667, 0.0, 32.792648, 32.808826
4, 35.047375, 34.679268, 33.800129, 33.898525, 0.0, 10.922435, 32.830540, 32.808895
3, 35.526104, 35.257133, 10.800961, 0.0, 33.936661, 34.101006, 33.773163, 33.808483
2, 35.536472, 35.448143, 0.0, 10.917525, 33.882034, 33.923714, 33.641884, 33.634781
1, 11.050751, 0.0, 35.096649, 35.261330, 34.715675, 34.739639, 35.136955, 34.926712
0, 0.0, 10.933105, 35.533688, 35.588547, 35.155296, 35.051666, 35.479095, 35.455891
Testing cache size 16KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 14.588670, 14.652787, 14.592975, 14.849781, 14.499273, 14.604679, 82.152840, 120.223770
6, 14.561343, 14.707224, 14.870767, 14.798260, 14.649799, 14.684785, 119.731491, 82.180603
5, 14.425167, 14.819036, 14.721776, 14.877424, 83.759773, 119.878036, 14.756227, 14.699729
4, 14.282265, 14.413108, 14.474665, 14.447421, 119.283348, 83.130348, 14.373252, 14.327574
3, 14.221057, 14.534312, 83.452766, 119.486969, 14.503712, 14.470408, 14.689026, 14.605014
2, 14.383797, 14.453210, 120.116920, 87.877274, 14.388423, 14.594782, 14.673965, 14.712302
1, 80.575760, 118.486237, 14.354093, 14.374036, 14.310466, 14.462887, 14.662227, 14.462538
0, 119.837830, 83.654442, 14.138246, 14.187528, 14.050031, 14.273829, 14.291361, 14.280866
Testing cache size 32KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 20.197901, 20.670839, 20.665340, 21.041723, 20.358706, 20.486393, 88.386429, 108.780396
6, 20.512693, 20.821877, 20.983042, 20.940336, 20.928556, 20.734600, 110.729301, 88.596268
5, 20.307388, 20.898657, 20.975616, 21.045763, 90.187164, 107.488731, 20.706114, 20.657820
4, 20.365143, 20.353830, 20.798565, 20.614275, 109.266159, 90.931564, 20.384176, 20.308603
3, 20.192335, 20.697350, 90.845543, 110.271576, 20.626152, 20.658131, 20.679949, 20.756445
2, 20.050617, 20.377117, 106.773758, 89.770088, 20.430538, 20.488541, 20.638746, 20.625154
1, 87.266121, 110.638084, 20.406347, 20.500952, 20.662165, 20.548197, 20.856230, 20.526125
0, 105.482582, 87.754524, 20.295967, 20.362474, 20.472614, 20.428581, 20.499268, 20.532063
Testing cache size 64KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 28.969105, 29.656166, 29.812050, 29.912289, 29.871960, 29.631048, 101.907204, 101.803711
6, 29.374920, 29.816717, 30.065348, 29.938414, 29.844723, 29.860298, 104.543053, 101.862175
5, 29.263212, 29.862112, 29.946640, 30.077364, 101.048889, 103.241112, 29.800669, 29.742283
4, 28.868889, 29.567610, 29.577791, 29.557930, 103.165482, 100.532242, 29.355854, 29.540079
3, 29.101389, 29.313078, 99.850487, 103.107353, 29.607780, 29.573284, 29.572004, 29.656389
