core to core latency(ns), 0, 1, 2, 3, 4, 5, 6, 7
7, 35.646049, 35.218361, 34.634998, 34.638195, 27.870676, 27.873751, 10.795045, 0.0
6, 35.636112, 35.202602, 34.697063, 34.631176, 27.877062, 27.869421, 0.0, 10.934672
5, 35.335243, 34.886555, 34.254555, 34.096016, 10.807902, 0.0, 27.880447, 27.871149
4, 35.319965, 34.865410, 34.239616, 34.236561, 0.0, 10.932121, 27.899084, 27.884790
3, 41.932625, 41.445904, 10.796514, 0.0, 34.627544, 34.626667, 34.944317, 34.949322
2, 41.996452, 41.479939, 0.0, 10.922891, 34.628017, 34.642231, 35.020664, 35.019878
1, 11.075744, 0.0, 41.335232, 41.340313, 35.435394, 35.435379, 35.744713, 35.756676
0, 0.0, 10.961384, 41.818569, 41.942719, 35.860722, 35.850483, 36.196110, 36.192020
Testing cache size 16KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 14.640413, 14.526832, 14.399307, 14.588213, 14.426052, 14.233341, 84.014870, 119.385071
6, 14.779455, 14.838845, 14.706109, 14.760465, 14.689619, 14.793520, 117.421532, 78.776047
5, 14.563431, 15.231239, 15.092762, 16.972847, 80.917488, 100.654839, 16.393869, 16.558931
4, 14.297162, 15.224272, 15.164703, 15.416512, 116.722130, 76.361877, 17.098698, 15.552271
3, 17.538902, 17.983555, 66.419830, 117.523491, 15.869372, 15.595433, 15.395750, 15.035732
2, 15.117887, 17.707850, 64.437553, 50.650627, 18.809790, 17.743141, 21.958473, 20.851986
1, 79.672333, 116.044327, 17.147766, 14.821545, 18.062628, 15.151206, 15.813437, 15.500142
0, 115.816086, 83.781143, 13.929244, 13.983173, 13.816552, 14.021748, 14.113070, 14.022340
Testing cache size 32KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 20.446505, 20.496069, 20.536869, 20.773079, 20.231028, 20.693542, 91.954445, 104.798317
6, 20.487446, 20.674686, 20.708956, 20.822250, 20.306961, 21.382830, 106.837517, 94.353241
5, 20.224262, 20.555403, 20.737053, 20.722012, 88.954399, 106.357262, 20.366358, 20.395145
4, 20.036180, 20.296560, 20.403656, 20.410286, 106.632172, 89.752892, 20.301571, 20.237064
3, 20.094063, 20.540413, 90.054192, 105.113731, 20.352140, 20.277531, 20.446705, 20.596439
2, 20.265249, 20.324005, 105.108910, 88.678886, 20.380934, 20.382042, 20.408812, 20.455189
1, 87.603729, 107.863556, 20.472948, 20.454462, 20.400551, 21.097515, 21.038921, 20.576502
0, 103.382126, 91.107933, 20.750299, 20.225883, 20.217518, 20.241425, 20.205975, 20.265953
Testing cache size 64KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 29.033886, 29.590363, 29.756950, 30.306004, 29.392904, 29.790407, 102.274574, 102.679115
6, 29.239817, 29.757891, 29.958759, 29.898273, 29.532679, 29.763952, 102.298164, 103.224396
5, 29.530355, 30.227104, 31.474049, 30.796947, 99.898514, 104.233505, 29.603949, 29.641357
4, 29.473417, 29.637323, 30.014725, 29.631968, 104.025726, 99.443871, 29.273079, 29.432482
3, 28.639881, 29.367229, 99.076385, 101.917709, 29.788717, 29.547773, 30.597706, 30.690926
2, 30.152258, 29.604006, 98.359276, 95.962196, 37.443874, 41.159828, 41.748383, 30.924889
1, 93.578476, 91.178070, 28.620178, 35.469257, 29.863033, 29.305872, 29.961494, 31.665663
0, 95.979889, 99.219803, 29.985157, 30.488628, 32.154007, 31.772337, 32.391872, 31.104462
Testing cache size 128KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 37.378574, 37.827442, 38.105293, 38.272453, 38.919491, 38.072639, 98.232483, 115.034813
6, 39.668728, 37.615246, 38.606346, 38.379284, 38.354183, 38.256313, 117.088257, 98.030716
5, 37.656166, 38.046055, 38.555431, 38.403641, 97.937309, 115.985023, 38.183834, 37.969627
4, 37.503143, 37.786907, 38.260109, 38.279598, 115.923470, 98.720436, 37.895241, 37.562347
3, 37.150505, 37.708363, 98.855377, 114.553635, 37.958309, 37.921589, 37.750195, 37.159363
2, 37.228050, 37.550716, 115.629265, 99.010292, 37.899914, 37.905025, 37.771362, 37.741417
1, 95.812988, 114.115753, 37.299412, 37.303699, 37.454578, 37.364891, 37.358837, 37.297272
0, 113.189758, 97.108391, 37.059120, 37.128605, 37.260212, 37.160648, 37.023689, 37.141003
Testing cache size 256KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 43.404533, 44.041748, 44.890392, 44.610973, 44.446793, 44.486698, 74.717888, 108.020515
6, 43.251648, 43.975948, 44.639236, 44.618332, 44.587593, 44.525227, 105.672806, 73.993370
5, 43.326534, 44.275192, 44.931377, 44.902641, 77.343536, 107.839005, 44.295094, 44.237957
4, 43.651680, 44.053680, 44.765820, 44.698372, 108.526756, 77.679588, 44.313969, 44.030300
3, 43.074554, 43.756680, 78.205544, 107.836105, 44.235569, 44.220425, 43.712616, 43.561180
2, 43.241974, 43.733364, 108.460587, 78.534912, 44.134178, 44.198013, 43.699947, 43.658844
1, 74.783119, 107.362694, 43.339031, 43.077389, 43.433334, 43.410713, 43.197731, 43.061352
0, 103.891594, 76.339142, 43.160137, 43.176937, 43.232693, 43.218456, 42.941334, 42.965282
Testing cache size 512KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 47.170223, 47.153141, 48.847420, 48.640350, 48.632511, 48.588440, 66.081329, 62.097992
6, 47.256767, 47.960445, 48.784077, 48.684612, 48.705097, 48.677902, 62.136429, 66.166412
5, 47.185658, 48.170700, 48.992332, 48.994343, 69.122963, 64.368690, 47.975883, 48.234261
4, 47.523098, 48.009922, 48.896969, 48.852417, 64.319000, 69.273315, 48.061802, 48.173626
3, 47.001270, 46.890308, 69.141228, 64.207245, 48.255085, 48.272945, 47.492348, 47.525238
2, 46.457890, 47.502129, 64.276733, 69.098541, 48.283066, 48.331478, 47.425068, 47.455471
1, 65.571014, 62.050735, 47.127163, 46.992489, 47.630619, 47.171406, 46.768024, 46.785908
0, 63.177299, 67.173782, 47.003807, 47.029793, 47.126553, 47.095329, 46.650978, 46.689930
Testing cache size 1024KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 49.725525, 49.949551, 51.180538, 51.063713, 51.099743, 51.138458, 69.366592, 67.029686
6, 49.729305, 49.702129, 51.212719, 51.174564, 51.147823, 51.170582, 67.058357, 69.465019
5, 49.614513, 50.483459, 51.432201, 51.487679, 73.485863, 70.970856, 50.599628, 50.692013
4, 49.932892, 50.455521, 51.394367, 51.276531, 70.877022, 73.672508, 50.680889, 50.559780
3, 49.111618, 49.878155, 73.568726, 70.791092, 50.683514, 50.724205, 49.843777, 49.794941
2, 48.274452, 49.936695, 70.778297, 73.578339, 50.829590, 50.757076, 49.858410, 49.848862
1, 68.435074, 66.967743, 49.303505, 49.288548, 49.623611, 49.629330, 49.091225, 49.003342
0, 67.244499, 69.952438, 49.405510, 49.416748, 49.498089, 49.387585, 48.956097, 46.645714
Testing cache size 2048KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 50.885029, 51.502377, 52.401279, 52.449043, 52.516563, 52.512333, 71.123596, 70.146866
6, 50.993763, 51.511864, 52.409008, 52.424427, 52.556080, 52.509499, 70.154373, 70.573471
5, 50.469738, 51.748898, 52.765064, 52.726727, 76.075043, 74.772835, 51.971527, 51.958412
4, 51.291164, 51.747536, 52.722450, 52.691212, 74.973351, 76.116440, 51.943924, 51.912937
3, 50.188248, 51.039688, 76.094246, 74.976189, 51.999813, 51.833153, 50.847343, 51.091587
2, 50.100208, 51.036381, 74.850037, 76.095741, 52.003288, 52.021248, 51.049633, 50.992466
1, 69.666420, 69.928795, 50.605877, 50.308605, 50.804970, 50.540565, 50.272488, 50.227970
0, 69.551010, 71.446831, 50.372036, 50.467510, 50.796402, 50.833321, 50.237015, 49.657001
Testing cache size 4096KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 51.010910, 52.054974, 53.024040, 53.060677, 53.109604, 50.944580, 72.049164, 71.694145
6, 50.463043, 52.016926, 53.046993, 53.036247, 53.202724, 53.134121, 71.666557, 72.158127
5, 51.267467, 52.296314, 53.362988, 53.383366, 77.170059, 75.449043, 52.570957, 52.558956
4, 51.786366, 52.296337, 53.275829, 53.259857, 76.997032, 77.362289, 52.546249, 52.539902
3, 50.566807, 51.596684, 77.319473, 77.081932, 52.627510, 51.870785, 51.514507, 51.492134
2, 50.526974, 51.683220, 77.116890, 77.267578, 52.156918, 52.617592, 51.651844, 51.687977
1, 69.666473, 71.354309, 51.184326, 51.252026, 51.492767, 51.350201, 50.781319, 50.791847
0, 70.671501, 72.103615, 51.224514, 51.196381, 51.427116, 51.307816, 50.770779, 50.823521
Testing cache size 8192KB (GB/s), 0, 1, 2, 3, 4, 5, 6, 7
7, 38.337143, 36.595814, 39.231716, 40.332516, 40.473904, 40.259075, 46.082047, 46.863857
